id;a-10a;A-10C;A-10C II;A-10C II_easy;A-10C_easy;A-4E-C;AJS37;AV8BNA;Bf-109K-4;Bf-109K-4_easy;C-101CC;C-101EB;Christen Eagle II;Default;F-14;F-14_RIO;F-15C;F-16C_50;F-16C_50_easy;F-5E-3;F-5E-3_easy;F-86F;F-86F_easy;FA-18C_hornet;FA-18C_hornet_easy;FW-190A8;FW-190A8_easy;FW-190D9;FW-190D9_easy;ground_unit;I-16;J-11A;JF-17;ka-50;ka-50_easy;L-39C;L-39ZA;M-2000C;mi-8mt;mi-8mt_easy;mi-8mt_Gunner;mi-8mt_TrackIR_Gunner;MiG-15bis;MiG-15bis_easy;MiG-19P;MiG-19P_easy;MiG-21Bis;mig-29;mig-29c;mig-29g;NS430;P-47D-30;P-47D-30_easy;P-51D-30-NA;P-51D-30-NA_easy;SA342;SpitfireLFMkIX;SpitfireLFMkIXCW;SpitfireLFMkIX_easy;su-25;su-25T;su-27;su-33;TF-51D;TF-51D_easy;UH-1H;UH-1H_easy;UH-1H_Gunner;UH-1H_TrackIR_Gunner;UiLayer;Yak-52;Yak-52_easy
d3003pnilu3003cd25vd1vpnilvu0;;;;;;;;;;;;;;;;;;Right MFD OSB 3;;;;;;UFC Function Selector Pushbutton - TCN;;;;;;;;;;;;RSBN Course Accordance Button;RSBN Course Accordance Button;;;;;;;;;;;;;;;;;Rear warning radar Test;Rear warning radar Test;;;;;;;;;Rear warning radar Test;Rear warning radar Test;;;;;;;
d3014pnilunilcd4vd1vpnilvunil;;;;;;;;;;;;;;;;;;TANK INERTING Switch - TANK INERTING /OFF;;Ext Fuel Pylons Switch - ON/OFF;;;;;;;;;;;;;Light Switch - TAXI;;;;;;;;;;;;;;;;;;;;;;;;ID Downward Lamp (prev. mode);ID Downward Lamp (prev. mode);ID Downward Lamp (prev. mode);;;;;;;;;;;;Engine Instruments Circuit Breaker, toggle;Engine Instruments Circuit Breaker, toggle
d3022pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;TRIM/AP DISC Switch - DISC/NORM;;Rudder Pedal Adjust T-Handle - PULL/STOW;;;;;;;;;;;Ignition switch BOTH;;;;;;;;Crossfeed Switch - ON/OFF;;;;;;;;;;;;;;;;;Alternator On/Off;Starter Button Cover (toggle);Starter Button Cover (toggle);Starter Button Cover (toggle);;;;;;;;;;;;;
d3006pnilunilcd15vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;Armament Position Selector Switch (RIGHT OUTBD) - OFF;;;;;;Radio Mode ADF;Radio Mode ADF;Radio Mode ADF;Radio Mode ADF;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radio Lights Dimmer BRIGHT;Radio Lights Dimmer BRIGHT;Radio Lights Dimmer BRIGHT;;;;;;;;;;;;;
d3038pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB RIGHT AIM-9 POWER - ON;;;;;;;;;;;;;;;;Emergency Jettison Switch - ON;Emergency Jettison Outboard Stations Switch - ON;;Left Pitot Heater Switch - ON;;;;;;;;;;;;;Interconnect Pitch Lever to Throttle (toggle);Interconnect Pitch Lever to Throttle (toggle);;;;;;;;;;;;;;;;;;Engine Start Button Cover, OPEN;Engine Start Button Cover, OPEN
d3005pnilunilcd2vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;Flap Lever - FULL;;Speed Brake Switch - OUT;Speed Brake Switch - OUT;;;Magneto Switch Backward;Magneto Switch Backward;Magneto Switch Backward;Magneto Switch Backward;;Primary fuel Pump OPEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;Guns, Missile and Camera Switch Cover - OPEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Starter Switch Cover;Starter Switch Cover;;Radio Channel A;Radio Channel A;Radio Channel A;;;;;Starter Switch Cover;Starter Switch Cover;;;;;;;
d3012pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Alternate Hydraulic Emergency Override Handle - PULL/PUSH;;;;Throttle Control Lock;Throttle Control Lock;Throttle Control Lock;Throttle Control Lock;;;;;;;Throttle Toggle Position - IDLE/STOP;Throttle Toggle Position - IDLE/STOP;;Bypass Switch Cover - OPEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3005pnilunilcd6vd-1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;External Wing Tanks Fuel Control Switch - STOP;;Fuel Selector Valve Down;Fuel Selector Valve Down;Fuel Selector Valve Down;Fuel Selector Valve Down;;;;;;;;;;;;;;Kneeboard Previous Shortcut;Kneeboard Previous Shortcut;Kneeboard Previous Shortcut;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilunilcd15vd0.1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;Radio Channel Selector II;Radio Channel Selector II;Radio Channel Selector II;Radio Channel Selector II;;;;;;;;;;;;;;;;;;;;;;;;;Supercharger switch LOW;Supercharger switch LOW;;;;;;;;;Supercharger switch LOW;Supercharger switch LOW;;;;;;;
d109pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(5) Close Air Combat HMD Helmet Mode;;Helmet-mounted system On/Off;Helmet-mounted system On/Off;;;;;;;;;;;;;(5) Close Air Combat HMD Helmet Mode;(5) Close Air Combat HMD Helmet Mode;(5) Close Air Combat HMD Helmet Mode;;;;;;;;;;;;(5) Close Air Combat HMD Helmet Mode;(5) Close Air Combat HMD Helmet Mode;;;;;;;;;
d429pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopilot - 'Route following';;;;;;Approach Hold Mode;;;;;;;;;;Autopilot - 'Path Control';Autopilot - 'Path Control';Autopilot - 'Path Control';;;;;;;;;;;Autopilot - 'Route following';Autopilot - 'Route following';Autopilot - 'Route following';;;;;;;;;
d280pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cut Of Burst select;;;;;;;;;;;;;;;;Cut Of Burst select;Cut Of Burst select;Cut Of Burst select;;;;;;;;;;Cut Of Burst select;Cut Of Burst select;Cut Of Burst select;Cut of Burst;;;;;;;;;
d3012pnilunilcd15vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Doppler Navigator Mode Switch - SEA;;;;;;;;;;;;;;;Fuel Booster ON;Fuel Booster ON;;Radio Channel C;Radio Channel C;Radio Channel C;;;;;Fuel Booster ON;Fuel Booster ON;;;;;;;
d84pnilu84cdnilvd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Release weapons;Pilot weapon release/Machinegun fire;Machinegun fire;Machinegun fire;;;;;;;;;;;;;;;;;;;;;;;;Pilot weapon release/Machinegun fire;Pilot weapon release/Machinegun fire;Machinegun fire;Machinegun fire;;;
d562pnilu606cdnilvdnilvpnilvunil;;HOTAS Nosewheel Steering Button;HOTAS Nosewheel Steering Button;HOTAS Nosewheel Steering Button;HOTAS Nosewheel Steering Button;;;AG Target Undesignate / NWS / FOV Toggle;;;;;;;;;;;;;;Nosewheel Steering Button;Nosewheel Steering Button;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d1036pnilu1037cdnilvdnilvpnilvunil;;Throttle Left Down;Throttle Left Down;Throttle Left Down;Throttle Left Down;;;;;;;;;;;;;;;Throttle Smoothly (Left) - Decrease;;;;Throttle Smoothly (Left) - Decrease;;;;;;;;;;;;;;;;;;;;;;;Throttle Down;;;;;;;;;;;;;;;;;;;;;;;;;
d1035pnilu1037cdnilvdnilvpnilvunil;;Throttle Left Up;Throttle Left Up;Throttle Left Up;Throttle Left Up;;;;;;;;;;;;;;;Throttle Smoothly (Left) - Increase;;;;Throttle Smoothly (Left) - Increase;;;;;;;;;;;;;;;;;;;;;;;Throttle Up;;;;;;;;;;;;;;;;;;;;;;;;;
d1200pnilunilcdnilvdnilvpnilvunil;;UHF Preset channel selector decrease;UHF Preset channel selector decrease;;;;;UHF RCU-8150 Chan/Freq Knob CCW;;;;;;;;;;UHF CHAN Knob - CCW/Decrease;;UHF Radio Preset Chanel Selector - Decrease;;;;;;;;;;;;;;;;Radio Channel Knob - Previous;Radio Channel Knob - Previous;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d1199pnilunilcdnilvdnilvpnilvunil;;UHF Preset channel selector increase;UHF Preset channel selector increase;;;;;UHF RCU-8150 Chan/Freq Knob CW;;;;;;;;;;UHF CHAN Knob - CW/Increase;;UHF Radio Preset Chanel Selector - Increase;;;;;;;;;;;;;;;;Radio Channel Knob - Next;Radio Channel Knob - Next;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp1216unilcdnilvdnilvpnilvunil;;UHF Volume decrease;UHF Volume decrease;;;;;UHF RCU-8150 Volume Decrease;;;;;;;;;;UHF VOL Knob - CCW/Decrease;;UHF Radio Volume Knob - CCW/Decrease;;;;;;;;;;;;;;;;Radio Volume Knob - Decrease;Radio Volume Knob - Decrease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dnilp1217unilcdnilvdnilvpnilvunil;;UHF Volume increase;UHF Volume increase;;;;;UHF RCU-8150 Volume Increase;;;;;;;;;;UHF VOL Knob - CW/Increase;;UHF Radio Volume Knob - CW/Increase;;;;;;;;;;;;;;;;Radio Volume Knob - Increase;Radio Volume Knob - Increase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d69pnilunilcdnilvdnilvpnilvunil;;;;Toggle Arrestor Hook;Toggle Arrestor Hook;Tail Hook Up/Down;;Air Refueling Probe Toggle IN/OUT;;;;;;;;;;;;;;;;;;;;;;;Landing Gear Next State;;;;;;;;;;;;;;;;;;;;;;;;;TV Hook;;;;;;;Tail Hook;;;;;;;;;
d3026pnilunilcd2vd1vpnilvunil;;;;;;BOMB ARM - NOSE & TAIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Right Tank Pump Switch - ON/OFF;;;;Engine Start Button Cover;;;;;;;;;;;;;Pilot Wiper Down;Booster Coil Button Cover (toggle);Booster Coil Button Cover (toggle);Booster Coil Button Cover (toggle);;;;;;;;;;;;;
d518pnilunilcdnilvdnilvpnilvunil;;;;;;;;Anti-Collision Lights Toggle;;;;;;;;;Anti-collision lights;;;;;;;;;;;;;;;Anti-collision lights;;Light anti-collision;Light anti-collision;;;Anti-Collision Lights TOGGLE;Strobe Light Switch - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3082pnilunilcd1vd1vpnilvunil;;;;;;;;;Cannon/Rockets (toggle);Cannon/Rockets (toggle);CB Pitot Heat/Stall warning system - OUT;CB Pitot Heat/Stall warning system - OUT;;;;;;;;;;CB Engine Ignition Switch - ON/OFF;;;;CB Navigation Lights (toggle);CB Navigation Lights (toggle);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3081pnilunilcd1vd1vpnilvunil;;;;;;;;;Cannon/Rockets ROCKETS;Cannon/Rockets ROCKETS;CB Oil temp Indication - OUT;CB Oil temp Indication - OUT;;;;;;;;;;CB Engine Master Switch - ON/OFF;;;;CB Instruments (toggle);CB Instruments (toggle);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3021pnilunilcd1vd0vpnilvunil;;;;;;;;;I.F.F. Transceiver OFF;I.F.F. Transceiver OFF;;;;;;;;;;;;CB Landing Lights Switch - OFF;;;;;;;;;;;;;;;;;Net on Rectifier Switch Cover - CLOSE;;;;;;;;;;;;;;;;;;Widscreen De-Icing OFF;Widscreen De-Icing OFF;Widscreen De-Icing OFF;;;;;;;;;;;;;
d3022pnilunilcd4vd1vpnilvunil;;;;;;;;;Tail Wheel Lock (toggle);Tail Wheel Lock (toggle);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I.F.F. Cover (toggle);I.F.F. Cover (toggle);I.F.F. Cover (toggle);;;;;;;;;;;;SSKUA-1 Stall Warning System Switch, toggle;SSKUA-1 Stall Warning System Switch, toggle
d3047pnilu3047cd1vd1vpnilvu0;;;;;;;;;;;Fuel Shutoff Valve Switch;Fuel Shutoff Valve Switch;;;;;;;;;;;;;;CB Ignition Off;CB Ignition Off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trim Rudder RIGHT;Trim Rudder RIGHT;Trim Rudder RIGHT;;;;;;;;;;;;;
d1672pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;Request Aircraft Control;Request Aircraft Control;Request Aircraft Control;;;;;;;;;;;;;;;;;;;;;;;Request Aircraft Control;Request Aircraft Control;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Request Aircraft Control;Request Aircraft Control
d3002pnilunilcd12vd1vpnilvunil;;;;;;;;;;;;TACAN Channel Selector (Ones) Increase;;;Hydraulic Transfer Pump Switch Cover OPEN;;;;;;;;;;;;;;;;;;;;;;;;Main Bomb Switch - ON;;;;;;;;;;;;;;;Flaps Up;Flaps Up;;;;;;;;;Flaps Up;Flaps Up;;;;;;;
d3001pnilunilcd6vd0vpnilvunil;;;;;;;;;;;;;Fuel valve close;;;;;EPU Switch Cover for ON - CLOSE;;;;;;Internal Wing Tank Fuel Control Switch - NORM;;Fuel Selector Valve OFF;Fuel Selector Valve OFF;Fuel Selector Valve OFF;Fuel Selector Valve OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3001pnilu3001cd12vd1vpnilvu0;;;;;;;;;;;;;;;Hydraulic Transfer Pump Switch SHUTOFF else NORMAL;;;Master Caution Button;;;;Accelerometer Reset Button;;APU Control Switch - ON/OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;Accelerometer Reset;Accelerometer Reset;;;;;;;;;;;;;Windshield Mode Increase;;;;;;
d3003pnilunilcd61vd1vpnilvunil;;;;;;;;;;;;;;;Kneeboard current position mark point;Kneeboard current position mark point;Kneeboard current position mark point;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kneeboard mark current position;Kneeboard current position mark point;Kneeboard current position mark point;Kneeboard current position mark point;;;;;;;;;;;;;;;;;;;;;;
d106pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;(2) Beyond Visual Range Mode;;;;;;;;;;;;;;;(2) Beyond Visual Range Mode;;;;;;;;;;;;;;;;(2) Beyond Visual Range Mode;(2) Beyond Visual Range Mode;(2) Beyond Visual Range Mode;;;;;;;;;;;;(2) Beyond Visual Range Mode;(2) Beyond Visual Range Mode;;;;;;;;;
d107pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;(3) Close Air Combat Vertical Scan Mode;;;;;;;;;;;;;;;(3) Close Air Combat Vertical Scan Mode;;;;;;;;;;;;;;;;(3) Close Air Combat Vertical Scan Mode;(3) Close Air Combat Vertical Scan Mode;(3) Close Air Combat Vertical Scan Mode;;;;;;;;;;;;(3) Close Air Combat Vertical Scan Mode;(3) Close Air Combat Vertical Scan Mode;;;;;;;;;
d108pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;(4) Close Air Combat Bore Mode;;;;;;;;;;;;;;;(4) Close Air Combat Bore Mode;;;;;;;;;;;;;;;;(4) Close Air Combat Bore Mode;(4) Close Air Combat Bore Mode;(4) Close Air Combat Bore Mode;;;;;;;;;;;;(4) Close Air Combat Bore Mode;(4) Close Air Combat Bore Mode;;;;;;;;;
d394pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;Radar Pulse Repeat Frequency Select;;;;;;;;;;;;;;;Radar Pulse Repeat Frequency Select;;;;;;;;;;;;;;;;Radar Pulse Repeat Frequency Select;Radar Pulse Repeat Frequency Select;Radar Pulse Repeat Frequency Select;;;;;;;;;;;;Radar Pulse Repeat Frequency Select;Radar Pulse Repeat Frequency Select;;;;;;;;;
d3015pnilunilcd2vd0vpnilvunil;;;;;;;;;;;;;;;;;;ADV MODE Switch - Released;;;;;;GAIN Switch Cover - OPEN/CLOSE;;;;MW-50 Switch OFF;MW-50 Switch OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;Magneto No. 1 OFF;Magneto No. 1 OFF;Magneto No. 1 OFF;;;;;;;;;;;;;
d3033pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;Autopilot ROLL Switch - Up;;;;;;;;;;;;;;;;;;;;;;;;;Trim Master Switch;;;;;;;;;Landing Flaps (toggle);Landing Flaps (toggle);;;;Fuel Tank Pressure ON;Fuel Tank Pressure ON;Fuel Tank Pressure ON;;;;;;;;;;;;;
d3018pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;Cycle Afterburner Detent - ON/OFF;;;;;;;;;;;;;;;;;;;;;Left Shutoff Valve Switch Cover - OPEN/CLOSE;;;;;;;;;;;;;;;;;;Magneto No. 2 (toggle);Magneto No. 2 (toggle);Magneto No. 2 (toggle);;;;;;;;;;;;Landing Flaps Lever, toggle;Landing Flaps Lever, toggle
d3003pnilunilcd8vd1vpnilvunil;;;;;;;;;;;;;;;;;;Emergency Lever - Up;;Oxygen Emergency Lever - EMERGENCY;;;;STROBE Lights Switch - BRT;;Flaps Landing;Flaps Landing;Flaps Landing;Flaps Landing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3010pnilunilcd4vd1vpnilvunil;;;;;;;;;;;;;;;;;;FUEL MASTER Switch Cover - OPEN/CLOSE;;Left Fuel Shutoff Switch Cover - OPEN;;;;;;;;;;;;;;;;;;;;;;;Guns Safety Cover;;;;3rd Fuel Tanks Group, Fuel Pump On/Off;;;;;;;;;;ID Upward Lamp (prev. mode);ID Upward Lamp (prev. mode);ID Upward Lamp (prev. mode);;;;;;;;;;;;;
d3001pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;MAIN PWR Switch - MAIN PWR;;Battery Switch - BATT;;Fuel Densitometer Selection Switch - OUT;;Battery Switch - ON;;;;;;;;;;;;;;;Left Engine EEC Switch - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ignition Control Switch FORWARD CABIN;Ignition Control Switch FORWARD CABIN
d3001pnilunilcd8vd1vpnilvunil;;;;;;;;;;;;;;;;;;Supply Lever - PBG;;Oxygen Supply Lever - ON;;;;;;Flaps Up;Flaps Up;Flaps Up;Flaps Up;;;;;;;;;;SPUU-52 Test Engage Button - ON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3027pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB EMERGENCY ALL JETTISON - ON;;;;Battery Switch - Up;;;;;;;;;;;;EKSR-46 Yellow Signal Flare Launch Button - ON;EKSR-46 Yellow Signal Flare Launch Button - ON;;Engine Start Mode Switch - START;;;;;;;;;;;;;Magneto Switch (next selection);Magneto Switch (next selection);;;;;;;;;;;;;;;;;;;
d3037pnilunilcd3vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;CB LEFT AIM-9 POWER - ON;;;;;;;;;;;;;;;;Emergency Jettison Switch Cover - OPEN;Emergency Jettison Outboard Stations Switch Cover - OPEN;;;;;;;;;;;;;;;Interconnect Pitch Lever to Throttle LOCK;Interconnect Pitch Lever to Throttle LOCK;;;;;;;;;;;;;;;;;;Engine Start Button Cover, toggle;Engine Start Button Cover, toggle
d3028pnilunilcd3vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;CB PITOT HEATER - OFF;;;;Left Generator Control Switch - NORM/OFF;;;;;;;;;;;;CB Armament System Power Switch - OFF;CB Armament System Power Switch - OFF;;Left Engine Dust Protection Switch - OFF;;;;;;;;;;;;;Magneto Switch OFF;Magneto Switch OFF;;;;;;;;;;;;;;;;;;;
d3017pnilunilcd1vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;CB Rudder Trim and TakeOff Indicator Switch - ON;;;;CB Fore Tank Fuel Pump On;CB Fore Tank Fuel Pump On;CB MW-50 On;CB MW-50 On;;;;;;;;;;;;;;;;;;;;;;;;;Gunsight mode (rotary);Gunsight mode (rotary);;;;;;;;;;;;;;;;;
d3011pnilunilcd5vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;Rocket Fuze (Arming) Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mixture IDLE CUT OFF;Mixture IDLE CUT OFF;;;;;;;;;Mixture IDLE CUT OFF;Mixture IDLE CUT OFF;;;;;;ARK-15M ADF Channel 1;ARK-15M ADF Channel 1
d3017pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;FLAP Switch - Up;;;;;;;;;;;;;;;Right Shutoff Valve Switch - ON/OFF;;;;;;;;;;;;;;;;;;Magneto No. 2 ON;Magneto No. 2 ON;Magneto No. 2 ON;;;;;;;;;;;;Landing Flaps Lever, DOWN (extend);Landing Flaps Lever, DOWN (extend)
d3009pnilunilcd2vd0vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Spin Recovery Switch - NORM;;;;;;;;;;;;;;;Left Shutoff Valve Switch Cover - CLOSE;;;;;;;;;;;;;;;;;;Mixture Control IDLE CUT-OFF;Mixture Control IDLE CUT-OFF;Mixture Control IDLE CUT-OFF;;;;;;;;;;;;Landing Gear Lever, NEUTRAL;Landing Gear Lever, NEUTRAL
d3009pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;Spin Recovery Switch - RCVY;;;;;;;;;;;;;;;Left Shutoff Valve Switch Cover - OPEN;;;;;;;;;;;;;;;;;;Mixture Control RUN;Mixture Control RUN;Mixture Control RUN;;;;;;;;;;;;Landing Gear Lever, EXTEND;Landing Gear Lever, EXTEND
d3006pnilunilcd6vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;Fuel Gauge Selector to the Right;Fuel Gauge Selector to the Right;Fuel Gauge Selector to the Right;Fuel Gauge Selector to the Right;;;;;;;;;;Left Attitude Indicator Power Switch - ON/OFF;;;;Kneeboard Jump To Shortcut  2;Kneeboard Jump To Shortcut  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3037pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Primary fuel Switch CLOSE;;;;;;;;;;;;RV-2 Radio Altimeter Switch;;;;;;;;;Compressibility Recovery Flaps Switch Cover (toggle);Compressibility Recovery Flaps Switch Cover (toggle);;;;Main Fuel Cock ON;Main Fuel Cock ON;Main Fuel Cock ON;;;;;;;;;;;;;
d3005pnilu3005cd5vd1vpnilvu0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sight brightness Increase;;;;;;;;;;;;;;;;;;;;;;;;;VHF Radio 250/500 kHz Toggle;Fire Machineguns and Cannons;Fire Machineguns and Cannons;Fire Machineguns and Cannons;;;;;;;;;;;;GMK-1AE GMC Test Switch, 300(degrees);GMK-1AE GMC Test Switch, 300(degrees)
d386pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopilot - Attitude Hold;;;;;;;;;;;;;;;;Autopilot - Attitude Hold;Autopilot - Attitude Hold;Autopilot - Attitude Hold;;;;;;;;;;;Autopilot - Attitude Hold;Autopilot - Attitude Hold;Autopilot - Attitude Hold;;;;;;;;;
d390pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopilot - Radar Altitude Hold;;;;;;;;;;;;;;;;Autopilot - Reapproach;Autopilot - Reapproach;Autopilot - Reapproach;;;;;;;;;;;Autopilot - Radar Altitude Hold;Autopilot - Radar Altitude Hold;Autopilot - Radar Altitude Hold;;;;;;;;;
d388pnilunilcdnilvdnilvpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Autopilot - Transition To Level Flight Control;;;;;;;;;;;;;;;;Autopilot - Transition To Level Flight Control;Autopilot - Transition To Level Flight Control;Autopilot - Transition To Level Flight Control;;;;;;;;;;;Autopilot - Transition To Level Flight Control;Autopilot - Transition To Level Flight Control;Autopilot - Transition To Level Flight Control;;;;;;;;;
d3041pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ASP-3N Gunsight Switch;;;;;;;;;;;;;Auxiliary tank On/Off;Drop Tank Fuel Cock ON;Drop Tank Fuel Cock ON;Drop Tank Fuel Cock ON;;;;;;;;;;;;Brake Override Switch, toggle;Brake Override Switch, toggle
d3031pnilunilcd2vd1vpnilvunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bombs Switch;;;;;;;;;Landing Flaps EXTEND;Landing Flaps EXTEND;;;Copilot Wiper Down;Primer Lock (toggle);Primer Lock (toggle);Primer Lock (toggle);;;;;;;;;;;;;
dnilp3008unilcd5vdnilvp1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cold Air Control to RAM;Cold Air Control to RAM;;Gun Sight Range INCREASE;Gun Sight Range INCREASE;Gun Sight Range INCREASE;;;;;Cold Air Control to RAM;Cold Air Control to RAM;;;;;;;
dnilp3008unilcd5vdnilvp-1vunil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cold Air Control to UNRAMMED FILTERED;Cold Air Control to UNRAMMED FILTERED;;Gun Sight Range DECREASE;Gun Sight Range DECREASE;Gun Sight Range DECREASE;;;;;Cold Air Control to UNRAMMED FILTERED;Cold Air Control to UNRAMMED FILTERED;;;;;;;
d3006pnilunilcd14vd0vpnilvunil;Kneeboard Jump To Shortcut  1;;;;;;;;;;;;;;;;;;;;;Oxygen Regulator Warning Light Switch - OFF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kneeboard Jump To Shortcut  1;Kneeboard Jump To Shortcut  1;Kneeboard Jump To Shortcut  1;Kneeboard Jump To Shortcut  1;;;;;;;;;
d3005pnilunilcd14vd1vpnilvunil;Kneeboard Next Shortcut;;;;;;;;;;;;;;;;;;;Select Jettison Switch - Up;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kneeboard Next Shortcut;Kneeboard Next Shortcut;Kneeboard Next Shortcut;Kneeboard Next Shortcut;;;;;;;;;
d3005pnilunilcd14vd-1vpnilvunil;Kneeboard Previous Shortcut;;;;;;;;;;;;;;;;;;;Select Jettison Switch - Down;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kneeboard Previous Shortcut;Kneeboard Previous Shortcut;Kneeboard Previous Shortcut;Kneeboard Previous Shortcut;;;;;;;;;
d750pnilunilcdnilvdnilvpnilvunil;;Auxiliary gear handle;Auxiliary gear handle;Emeregency gear;Emeregency gear;;;;;;;;;;;;;;;;;;;Landing Gear Control Handle (EMERGENCY DOWN) - EXTEND/RETRACT;;;;;;;;;;Emeregency gear;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d3255pnilunilcd0vd1vpnilvunil;;Flashlight Color - Toggle Green/White;Flashlight Color - Toggle Green/White;;;;;;;;;;;;;;;Toggle Flashlight Color - Green/White;;Toggle Flashlight Color - Red/White;Toggle Flashlight Color - Red/White;;;Flashlight Color - Toggle Green/White;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
